epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
62,414.297,1.23696,0.7586,0.01415,0.06469,0.94868,0.94001,0.974,0.78903,0.82786,0.36492,0.01275,0.00384,0.000789628,0.000789628,0.000789628
63,421.029,1.23734,0.80456,0.01496,0.07017,0.98011,0.94915,0.98723,0.77817,0.85606,0.31159,0.01171,0.00243,0.000783231,0.000783231,0.000783231
64,427.536,1.23328,0.77579,0.01353,0.07429,0.96496,0.9661,0.98563,0.69422,1.11885,0.38288,0.01704,0.00626,0.000776766,0.000776766,0.000776766
65,434.007,1.1911,0.72081,0.01386,0.06478,0.95067,0.9799,0.98913,0.79237,0.80845,0.29352,0.01084,0.00367,0.000770234,0.000770234,0.000770234
66,440.488,1.23946,0.76166,0.01413,0.07173,0.93504,0.94915,0.96692,0.77082,0.84491,0.38642,0.01229,0.00209,0.000763637,0.000763637,0.000763637
67,446.99,1.22651,0.75867,0.01372,0.06652,0.91453,0.9661,0.97424,0.74557,0.93994,0.371,0.01397,0.00604,0.000756976,0.000756976,0.000756976
68,453.575,1.17581,0.72384,0.01327,0.06638,0.92108,0.9661,0.98294,0.72862,1.00164,0.36898,0.01657,0.00169,0.000750252,0.000750252,0.000750252
69,460.137,1.21935,0.77471,0.01395,0.06942,0.94996,0.96532,0.97808,0.73451,1.00796,0.39383,0.01609,0.00325,0.000743468,0.000743468,0.000743468
70,466.631,1.21197,0.7223,0.01287,0.07418,0.98014,0.98305,0.98178,0.76548,0.87388,0.31635,0.01155,0.00192,0.000736625,0.000736625,0.000736625
71,473.095,1.20054,0.76069,0.01364,0.06908,0.91851,0.9661,0.96188,0.77755,0.82773,0.39951,0.01232,0.00429,0.000729725,0.000729725,0.000729725
72,479.67,1.18975,0.74969,0.01324,0.06705,0.96156,0.94915,0.97861,0.7472,0.9302,0.42221,0.01233,0.00208,0.00072277,0.00072277,0.00072277
73,486.195,1.18242,0.72463,0.01302,0.0698,0.98203,0.9262,0.9754,0.74801,0.93944,0.38538,0.01251,0.00396,0.000715761,0.000715761,0.000715761
74,493.018,1.2051,0.78241,0.01328,0.07087,0.94954,0.95685,0.97406,0.72885,1.0049,0.3795,0.01604,0.00211,0.0007087,0.0007087,0.0007087
75,499.584,1.24723,0.7449,0.0138,0.07217,0.93822,0.98305,0.98624,0.76576,0.88674,0.32729,0.01175,0.00239,0.000701588,0.000701588,0.000701588
